DATA       -> FONTE
26.02.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46435-brasil-confirma-primeiro-caso-de-novo-coronavirus
27.02.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46446-coronavirus-brasil-monitora-132-casos-suspeitos-da-doenca
28.02.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46453-coronavirus-brasil-monitora-182-casos-suspeitos-da-doenca
29.02.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46461-brasil-confirma-2-caso-importado-de-coronavirus
02.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46465-coronavirus-com-2-casos-confirmados-brasil-monitora-433-suspeitos
03.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46475-coronavirus-com-2-casos-confirmados-brasil-monitora-488-suspeitos
04.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46486-coronavirus-3-casos-confirmados-e-531-suspeitos
05.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46493-coronavirus-com-8-casos-confirmados-brasil-monitora-636-suspeitos	
06.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46501-coronavirus-com-13-casos-confirmados-brasil-monitora-768-suspeitos-2
09.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46505-coronavirus-25-casos-confirmados-no-brasil
10.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46521-coronavirus-34-casos-confirmados-no-brasil
11.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46524-coronavirus-52-casos-confirmados-e-907-suspeitos-em-investigacao-no-brasil
12.03.2020 -> https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/03/12/sobe-para-76-o-numero-de-casos-confirmados-de-coronavirus-no-brasil.htm
17.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46552-coronavirus-1-morte-e-291-casos-confirmados
16.03.2020 -> https://saude.estadao.com.br/noticias/geral,brasil-tem-234-casos-de-novo-coronavirus-df-registra-transmissao-comunitaria,70003235340
18.03.2020 -> https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/18/casos-de-coronavirus-no-brasil-em-18-de-marco.ghtml
19.03.2020 -> https://www.saude.gov.br/noticias/agencia-saude/46516-coronavirus-25-casos-confirmados-e-930-suspeitos-em-investigacao-no-brasil
20.03.2020 -> https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/20/casos-de-coronavirus-no-brasil-em-20-de-marco.ghtml
